id,name,uri,href,external_urls
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj,https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj
6EN9iGovybDcQZ2NtsqMFd,Sigurd Barrett,spotify:artist:6EN9iGovybDcQZ2NtsqMFd,https://api.spotify.com/v1/artists/6EN9iGovybDcQZ2NtsqMFd,https://open.spotify.com/artist/6EN9iGovybDcQZ2NtsqMFd
31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7
0oXTS2yHUnuji1R7kc9J9a,Pascal Letoublon,spotify:artist:0oXTS2yHUnuji1R7kc9J9a,https://api.spotify.com/v1/artists/0oXTS2yHUnuji1R7kc9J9a,https://open.spotify.com/artist/0oXTS2yHUnuji1R7kc9J9a
2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
5zIcHgFNdGXtm07osu6vFN,Peter Wibe,spotify:artist:5zIcHgFNdGXtm07osu6vFN,https://api.spotify.com/v1/artists/5zIcHgFNdGXtm07osu6vFN,https://open.spotify.com/artist/5zIcHgFNdGXtm07osu6vFN
2DWEGeUDT1fbmLCUsygDO4,Marcia Juell,spotify:artist:2DWEGeUDT1fbmLCUsygDO4,https://api.spotify.com/v1/artists/2DWEGeUDT1fbmLCUsygDO4,https://open.spotify.com/artist/2DWEGeUDT1fbmLCUsygDO4
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J,https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J
3tVQdUvClmAT7URs9V3rsp,WizKid,spotify:artist:3tVQdUvClmAT7URs9V3rsp,https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp,https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp
